Year,Trade Flow,Reporter,Partner,Commodity Code,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2021,Export,Oman,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,7825108,7825108,20399102
2021,Import,Ethiopia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2796536,2796536,5634877
2021,Import,Zimbabwe,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2767960,2767960,5378840
2021,Export,Netherlands,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,405670761,405670761,1035095359
2021,Import,Madagascar,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2686599,2687476,6497763
2021,Export,New Zealand,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2849706,2849706,5989657
2021,Import,Mozambique,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2233698,2233698,4227011
2021,Export,Nicaragua,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,7352,7352,19050
2021,Import,Panama,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2178802,2178802,4079389
2021,Import,Nepal,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2028109,2028109,3926437
2021,Export,Norway,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,3565435,3565435,16790163
2021,Import,Trinidad and Tobago,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1868131,1868131,5047410
2021,Export,Pakistan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1335270,1335270,1658780
2021,Import,North Macedonia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1816545,1816545,3834362
2021,Import,Rwanda,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1726147,1726147,2858724
2021,Export,Paraguay,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,11486,11486,56582
2021,Import,Kyrgyzstan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1595337,1595337,3868103
2021,Export,Peru,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1072355,1072355,2223770
2021,Import,Lao People's Dem. Rep.,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1481942,1481942,954226
2021,Export,Philippines,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,285144,285144,428165
